"PID","JAR","FORMAT","STEP","START","END","DURATION","ORDER","complexity_score","STEP_CODE","COMPLEXITY"
"P02","jar1","BOOKLET","Step 14",00:06:12.2,00:06:27.3,15.0999999046326,"BOOK_FIRST",5,"S14","medium"
"P02","jar1","BOOKLET","Step 13",00:06:27.3,00:06:42.2,14.9000000953674,"BOOK_FIRST",3,"S13","low"
"P02","jar1","BOOKLET","Step 14",00:06:42.2,00:08:05.0,82.7999999523163,"BOOK_FIRST",5,"S14","medium"
"P02","jar1","BOOKLET","Step 15",00:08:05.0,00:08:23.6,18.5999999046326,"BOOK_FIRST",7,"S15","medium"
"P02","jar1","BOOKLET","Step 13",00:08:23.6,00:08:35.0,11.4000000953674,"BOOK_FIRST",3,"S13","low"
"P02","jar1","BOOKLET","Step 15",00:08:35.0,00:09:04.3,29.2999999523163,"BOOK_FIRST",7,"S15","medium"
"P02","jar1","BOOKLET","Step 16",00:09:05.0,00:09:12.0,7,"BOOK_FIRST",2,"S16","low"
"P02","jar1","BOOKLET","Step 17",00:09:12.0,00:09:28.2,16.2000000476837,"BOOK_FIRST",6,"S17","medium"
"P02","jar1","BOOKLET","Step 18",00:09:28.2,00:09:55.2,27,"BOOK_FIRST",5,"S18","medium"
"P02","jar1","BOOKLET","Step 19",00:09:56.5,00:10:04.5,8,"BOOK_FIRST",6,"S19","medium"
"P02","jar1","BOOKLET","Step 20",00:10:04.4,00:10:12.1,7.69999980926514,"BOOK_FIRST",2,"S20","low"
"P02","jar1","BOOKLET","Step 21",00:10:12.1,00:10:47.2,35.1000001430511,"BOOK_FIRST",6,"S21","medium"
"P02","jar1","BOOKLET","Step 22",00:10:47.2,00:12:05.2,78,"BOOK_FIRST",16,"S22","high"
"P02","jar1","BOOKLET","Step 23",00:12:05.2,00:12:55.5,50.2999999523163,"BOOK_FIRST",6,"S23","medium"
"P02","jar1","BOOKLET","Step 24",00:12:56.0,00:13:30.6,34.5999999046326,"BOOK_FIRST",3,"S24","low"
"P02","jar1","BOOKLET","Step 25",00:13:30.6,00:13:48.7,18.1000001430511,"BOOK_FIRST",3,"S25","low"
"P02","jar1","BOOKLET","Step 26",00:13:48.7,00:14:11.1,22.3999998569489,"BOOK_FIRST",3,"S26","low"
"P02","jar1","BOOKLET","Step 27",00:14:12.6,00:14:57.3,44.7000000476837,"BOOK_FIRST",9,"S27","high"
"P02","jar1","BOOKLET","Step 28",00:14:57.3,00:15:41.6,44.2999999523163,"BOOK_FIRST",6,"S28","medium"
"P02","jar1","BOOKLET","Step 29",00:15:43.0,00:15:58.0,15,"BOOK_FIRST",4,"S29","low"
"P02","jar2","APP","Step 0A",00:00:13.6,00:00:43.1,29.5,"BOOK_FIRST",NA,NA,NA
"P02","jar2","APP","Step 30",00:00:43.1,00:01:24.0,40.9000000953674,"BOOK_FIRST",8,"S30","medium"
"P02","jar2","APP","Step 31",00:01:24.4,00:02:18.7,54.2999999523163,"BOOK_FIRST",6,"S31","medium"
"P02","jar2","APP","Step 32",00:02:18.7,00:02:39.4,20.7000000476837,"BOOK_FIRST",2,"S32","low"
"P02","jar2","APP","Step 33",00:02:39.3,00:03:51.4,72.1000001430511,"BOOK_FIRST",10,"S33","high"
"P02","jar2","APP","Step 34",00:03:51.4,00:04:28.7,37.2999999523163,"BOOK_FIRST",8,"S34","medium"
"P02","jar2","APP","Step 35",00:04:28.7,00:05:09.6,40.8999998569489,"BOOK_FIRST",7,"S35","medium"
"P02","jar2","APP","Step 36",00:05:09.6,00:05:18.6,9,"BOOK_FIRST",4,"S36","low"
"P02","jar2","APP","Step 37",00:05:18.6,00:05:49.7,31.1000001430511,"BOOK_FIRST",3,"S37","low"
"P02","jar2","APP","Step 38",00:05:49.7,00:06:09.1,19.3999998569489,"BOOK_FIRST",2,"S38","low"
"P02","jar2","APP","Step 39",00:06:09.1,00:06:24.5,15.4000000953674,"BOOK_FIRST",5,"S39","medium"
"P02","jar2","APP","Step 39",00:07:15.8,00:07:32.0,16.2000000476837,"BOOK_FIRST",5,"S39","medium"
"P02","jar2","APP","Step 40",00:07:32.0,00:07:49.6,17.5999999046326,"BOOK_FIRST",3,"S40","low"
"P02","jar2","APP","Step 41",00:07:49.6,00:08:58.1,68.5,"BOOK_FIRST",12,"S41","high"
"P02","jar2","APP","Step 42",00:08:58.1,00:09:11.9,13.8000001907349,"BOOK_FIRST",2,"S42","low"
"P02","jar2","APP","Step 43",00:09:11.9,00:09:24.9,13,"BOOK_FIRST",2,"S43","low"
"P02","jar2","APP","Step 44",00:09:24.9,00:09:41.7,16.7999999523163,"BOOK_FIRST",3,"S44","low"
"P02","jar2","APP","Step 45",00:09:41.7,00:10:49.5,67.7999999523163,"BOOK_FIRST",10,"S45","high"
"P02","jar2","APP","Step 46",00:10:49.4,00:11:34.3,44.8999998569489,"BOOK_FIRST",5,"S46","medium"
"P02","jar2","APP","Step 47",00:11:34.3,00:11:49.0,14.7000000476837,"BOOK_FIRST",3,"S47","low"
